ID,Account ID,Cleanliness,Facilities,Service,Comment
20000000,1,4.5,3,4,"The room was clean, and the staff was helpful. Facilities could be improved."
20000001,2,4,4,4,N/A
20000002,3,2,4,4.5,The sheets were dirty. The concierge was very helpful.
20000003,4,4.5,3.5,4,"The hotel was very clean. Service could be improved. Could use better facilities."
20000004,5,4.5,3.5,4,The hotel was very clean. Staff was friendly and helpful. 
20000005,6,4.5,3.5,4,The cleanliness was satisfactory. Front desk was not responsive. Elevators were slow.
20000006,7,5,4.5,4.5,Great!
20000007,8,2.5,3,3,The sheets were dirty. Room service took too long. Elevators were slow.
20000008,9,4.5,4.5,5,all great
20000009,10,4.5,4.5,3,The room was spotless. Housekeeping was inconsistent. Great facilites
20000010,11,4.5,3.5,3,The cleanliness was satisfactory. Housekeeping was inconsistent. Could use better facilities.
20000011,12,3.5,5,4.5,There was dust on the furniture. Everyone was polite and professional. Facilities were excellent.
20000012,13,3.5,4,4.5,The room had a fresh smell. Receptionists were welcoming. Facilities were a bit outdated.
20000013,13,5,4,5,Cleanliness was top-notch. Customer service was excellent. Parking was limited.
20000014,14,4.5,4.5,4.5,good!
20000015,15,1,1,1,Trash
20000016,16,5,3.5,4,The hotel was very clean. Service could be improved. Parking was limited.
20000017,14,4.5,4.5,4.5,...
20000018,15,1,1,1,Trash
20000019,17,4,3.5,4,Cleanliness could be better. Service was slow. Parking was limited.
20000020,18,3.5,5,3.5,The sheets were dirty. Service could be improved. Wi-Fi was fast and reliable.
20000021,19,5,4,3.5,The room was spotless. Service could be improved. 
20000022,21,5,4,3,The bathroom was clean and well-maintained. Front desk was not responsive.
20000023,20,3.5,3.5,3.5,There was dust on the furniture. Service was slow. Parking was limited.
20000024,22,5,4.5,5,The room had a fresh smell. Customer service was excellent. The amenities were lacking.
20000025,23,5,4,4,The room had a fresh smell. Service was slow. Facilities were a bit outdated.
20000026,24,5,4,5,The cleanliness was satisfactory. Receptionists were welcoming. Could use better facilities.
20000027,25,5,4.5,5,The bathroom was clean and well-maintained. Receptionists were welcoming. Could use better facilities.
20000028,26,5,5,5,Love this!
20000029,15,1,1,1,Trash
20000030,28,5,4.5,5,The cleanliness was satisfactory. Customer service was excellent. Parking was limited.
20000031,29,5,4,5,The hotel was very clean. Staff was friendly and helpful. Facilities were a bit outdated.
20000032,30,4,5,3.5,There was dust on the furniture. Front desk was not responsive. Wi-Fi was fast and reliable.
20000033,31,5,4.5,4.5,The room had a fresh smell.
20000034,32,4,4.5,5,Customer service was excellent. 
20000035,33,4,4.5,5,Customer service was excellent. 
20000036,7,5,4.5,4.5,Great!
20000037,26,5,5,5,All great!
20000038,34,4.5,4.5,3.5,The room had a fresh smell. Service was slow. Facilities were excellent.
20000039,35,4.5,4.5,5,Everything looked newly cleaned. Customer service was excellent. Great facilities.
20000040,35,5,3.5,4,The hotel was very clean. Service could be improved. Elevators were slow.
20000041,36,5,4.5,3.5,The room was spotless. Service could be improved. Facilities were excellent.
20000042,37,5,4.5,4,The hotel was very clean. Room service took too long. Facilities were excellent.
20000043,26,5,5,5,All great!
20000044,38,5,5,5,The hotel was very clean. Service could be improved. Could use better facilities.
20000045,39,5,4.5,5,The cleanliness was satisfactory. The concierge was very helpful. Could use better facilities.
20000046,40,4.5,4.5,5,N/A
20000047,41,5,4.5,5,N/A
20000048,42,5,5,5,<3<3
20000049,1,5,5,5,"The room was clean, and the staff was helpful. Facilities could be improved."
20000050,2,5,5,5,
20000051,5,5,5,3.5,The bathroom was clean and well-maintained. Room service took too long. Facilities were excellent.
20000052,,,,,
20000053,,,,,
20000054,,,,,
20000055,,,,,
20000056,,,,,
20000057,,,,,
20000058,,,,,
20000059,,,,,
20000060,,,,,
20000061,,,,,
20000062,,,,,
20000063,,,,,
20000064,,,,,
20000065,,,,,
20000066,,,,,
20000067,,,,,
20000068,,,,,
20000069,,,,,
20000070,,,,,
20000071,,,,,
20000072,,,,,
20000073,,,,,
20000074,,,,,
20000075,,,,,
20000076,,,,,
20000077,,,,,
20000078,,,,,
20000079,,,,,
20000080,,,,,
20000081,,,,,
20000082,,,,,
20000083,,,,,
20000084,,,,,
20000085,,,,,
20000086,,,,,
20000087,,,,,
20000088,,,,,
20000089,,,,,
20000090,,,,,
20000091,,,,,
20000092,,,,,
20000093,,,,,
20000094,,,,,
20000095,,,,,
20000096,,,,,
20000097,,,,,
20000098,,,,,
20000099,,,,,
20000100,,,,,