Hotel ID,Name,Description,Max Occupancy,Number of Beds,Bed type,View type,Facilities,Stay Type,Valid Time,Valid Stay,Price,Amount
30000000,Coastal Twin Room,"A stylish and cozy retreat offering a <b>serene garden view</b> for guests looking to unwind. Featuring <b>modern panel-style twin beds with wooden frames</b>, this room balances elegance and comfort perfectly. Additional amenities include a <b>nightstand with lamp</b> and <b>framed artwork</b>, adding a touch of warmth to the space. ",2,2,Twin; Panel; Modern; None; Wooden,Garden,HasTV; IsSmokingAllowed; IsPetFriendly; HasBathTub; HasHeating; HasBrailleSignage; HasKitchen; HasPrivateWifi; IsWheelchairFriendly,Hourly,7; 18,2; 10,150,10
30000001,Oceanview Deluxe Suite,"Indulge in the ultimate seaside luxury with this expansive suite offering panoramic views of the ocean. The suite boasts a spacious living area, a plush king-size bed, and a private balcony where you can soak in the stunning scenery. Enjoy premium amenities like a flat-screen TV, complimentary Wi-Fi, a minibar, and a lavish en-suite bathroom with a rain shower and bathtub. Perfect for couples or families looking for a memorable coastal retreat.",5,2,King; Upholstered; Modern; None; Wingback,Garden,HasBalcony; HasAirConditioning; IsSmokingAllowed; HasHeating,Overnight,20; 12,0; 0,200,7
30000002,Sunset Retreat Suite,"Bask in the beauty of mesmerizing sunsets from the comfort of this elegant suite, thoughtfully designed with large windows to capture the view. The suite features a comfortable king-size bed, a stylish seating area, and a private balcony. Modern amenities include a flat-screen TV, high-speed Wi-Fi, a minibar, and a spacious en-suite bathroom with premium toiletries. Ideal for romantic escapes and those who appreciate picturesque evenings.",2,1,Queen; Upholstered; Rustic; None; Brass,Garden,HasBalcony; HasBathTub; HasPrivateWifi; HasKitchen; IsSmokingAllowed; HasHeating; IsPetFriendly; HasBrailleSignage; HasTV; HasAirConditioning; IsWheelchairFriendly,Daily,6; 18,1; 10,250,9
30000003,Standard Villa Experience,"Two-bedroom villas designed to feel like home. Separate sleeping quarters with ensuite bathrooms – one with a freestanding bathtub, joined by a spacious living area for all the family. Perfect for families, groups of friends and couples traveling together.",4,3,Queen; Simple; Traditional; None; Wooden,Garden,IsPetFriendly; HasPrivateWifi; HasTV; HasAirConditioning; HasBalcony; HasHeating; IsWheelchairFriendly; HasBathTub; IsSmokingAllowed,Overnight,19; 11,0; 0,268,5
30000004,Lagoon Edge Villa,"Discover the ideal retreat for couples at our award-winning sanctuary, surrounded by breathtaking nature and designed for ultimate relaxation and peace.",2,1,King; Water; Rustic; None; Wooden,Lake,HasHeating; HasBathTub; HasKitchen; HasAirConditioning; HasBalcony; IsPetFriendly; HasBrailleSignage; IsWheelchairFriendly; HasTV; IsSmokingAllowed; HasPrivateWifi,Overnight,21; 12,0; 0,220,7
30000005,Superior Two-Bedroom Villa,"The villas for space and luxury. Generous two-bedroom villa with ensuite bathrooms – one with a freestanding bathtub, kitchen with convection microwave, and spacious indoor/outdoor living areas. The luxury resort option for families, groups of friends, business associates and couples traveling together (max 4 adults).",4,3,Queen; Panel; Country; None; Wooden,Garden,HasBrailleSignage; HasBalcony; IsWheelchairFriendly; HasAirConditioning; IsPetFriendly; HasBathTub,Daily,8; 22,2; 7,290,5
30000006,Double Room with Private Bathroom,"A comfortable and cozy double room designed for those seeking privacy and convenience. The room features a comfortable double bed, a modern en-suite bathroom, a flat-screen TV, air conditioning, and complimentary Wi-Fi. Ideal for solo travelers or couples looking for a peaceful stay without any hassle.",2,1,Full; Simple; Modern; None; Wooden,Garden,HasAirConditioning; HasTV; HasBalcony; IsSmokingAllowed; IsWheelchairFriendly,Hourly,8; 19,1; 8,130,3
30000007,Bed in 10-Bed Mixed Dormitory Room,"A budget-friendly option for backpackers and solo travelers, this mixed dormitory offers a secure and clean space with comfortable beds, individual lockers, and access to shared facilities. Guests can enjoy free Wi-Fi, a common lounge area, and a communal kitchen, making it an excellent choice for those looking to meet fellow travelers.",10,5,Single; Bunk; Modern; Bunk; Metal,Garden,HasAirConditioning; HasBathTub; HasBrailleSignage; HasPrivateWifi,Daily,7; 23,2; 18,200,2
30000008,6-Bed Dormitory - Female Only,"A budget-friendly option for backpackers and solo travelers, this mixed dormitory offers a secure and clean space with comfortable beds, individual lockers, and access to shared facilities. Guests can enjoy free Wi-Fi, a common lounge area, and a communal kitchen, making it an excellent choice for those looking to meet fellow travelers.",6,3,Single; Bunk; Modern; Bunk; Metal,Garden,HasBrailleSignage; IsPetFriendly; HasHeating; HasBalcony; HasPrivateWifi; HasBathTub; HasAirConditioning; IsSmokingAllowed,Daily,4; 23,1; 12,150,2
30000009,Standard King Room,"For couples travelling together, the Two Bedroom Hotel Suite provides next level luxury. Unwind in the comfort of a private sitting room area, which provides the perfect space to relax, chat and catch up with your traveling companions. Enjoy a range of exquisite amenities, including a spacious king-size bed, premium Mukti toiletries, a well-stocked mini bar, a Nespresso coffee machine, kettle, hairdryer, and indulgent Bemboka & Eadie bedding.",2,1,King; Upholstered; Traditional; None; Wooden,Street,IsWheelchairFriendly; HasBalcony; HasPrivateWifi; IsSmokingAllowed; IsPetFriendly,Daily,8; 22,1; 7,200,10
30000010,Twin Room with Shared Bathroom,"A practical and affordable option featuring two comfortable single beds. Guests have access to a clean and well-maintained shared bathroom. The room is equipped with free Wi-Fi, a flat-screen TV, and basic amenities, making it an excellent choice for budget-conscious travelers.",2,2,Twin; Simple; Modern; None; Wooden,Street,HasPrivateWifi; HasBalcony; HasHeating; IsWheelchairFriendly; HasBathTub; HasKitchen; HasBrailleSignage; HasTV,Hourly,7; 23,3; 10,90,4
30000011,Queen Room with Shared Bathroom,"A cozy room featuring a comfortable queen-size bed, perfect for solo travelers or couples. Guests have access to a shared bathroom, and the room is equipped with essential amenities, including Wi-Fi, a flat-screen TV, and air conditioning.",2,1,Queen; Simple; Modern; None; Wooden,Street,HasBalcony; IsSmokingAllowed; HasKitchen; IsWheelchairFriendly; HasHeating; HasAirConditioning; HasTV,Hourly,8; 23,3; 8,100,4
30000012,Bed in 8-Bed Mixed Dormitory Room,"An affordable accommodation option for travelers seeking a social experience. This dormitory offers a comfortable bed, secure lockers, and access to shared bathroom facilities. Guests can also enjoy a common lounge area and a shared kitchen, making it a great choice for those who enjoy meeting new people.",8,4,Single; Bunk; Modern; Bunk; Metal,Street,HasBrailleSignage; HasBathTub; HasPrivateWifi; HasTV; HasKitchen,Overnight,20; 8,0; 0,100,2
30000013,Bed in 6-Bed Female Dormitory Room,"A secure, female-only dormitory offering a safe and comfortable space for female travelers. The dormitory features comfortable beds, individual storage lockers, and access to shared bathroom facilities. Free Wi-Fi and a communal lounge area are also available.",6,3,Twin; Hanging; French; None; Wingback,Street,HasBrailleSignage; HasBathTub; HasKitchen; IsWheelchairFriendly; HasPrivateWifi; HasAirConditioning; HasBalcony; IsPetFriendly; HasHeating; HasTV; IsSmokingAllowed,Hourly,7; 22,4; 12,80,3
30000014,Blue Suite,"A luxurious and elegantly designed suite, offering a spacious living area, a plush king-size bed, and a modern en-suite bathroom. The suite features a private balcony, complimentary Wi-Fi, a flat-screen TV, and a minibar, providing a perfect blend of comfort and sophistication.",2,1,Full; Water; Modern; None; Metal,Street,IsSmokingAllowed; HasBalcony; IsPetFriendly; HasHeating; IsWheelchairFriendly; HasTV; HasBrailleSignage; HasKitchen; HasAirConditioning; HasBathTub; HasPrivateWifi,Hourly,6; 24,1; 9,130,3
30000015,Blue Group Suite,"An expansive suite designed for groups, featuring multiple beds, a large living area, and a fully equipped kitchen. Guests can enjoy high-speed Wi-Fi, a flat-screen TV, and modern bathroom facilities, making it an excellent choice for group travelers.",6,6,King; Bookcase; Industrial; None; Slat,Street,HasBalcony; HasPrivateWifi; IsWheelchairFriendly; HasTV; HasKitchen; IsPetFriendly; HasHeating,Overnight,19; 12,0; 0,200,3
30000016,Blue Penthouse XL,"Experience the height of luxury in this stunning penthouse, offering panoramic views, a spacious living area, a private terrace, and a lavish bedroom with a king-size bed. The suite is equipped with premium amenities, including a flat-screen TV, minibar, air conditioning, and a luxurious bathroom.",4,2,Single; Hammock; Country; None; Wooden,Street,HasPrivateWifi; HasBathTub; HasBrailleSignage; HasAirConditioning; IsSmokingAllowed; HasTV,Overnight,18; 9,0; 0,200,3
30000017,King Room with Terrace,"An elegant room featuring a plush king-size bed, a private terrace with beautiful views, and modern amenities, including a flat-screen TV, air conditioning, and Wi-Fi. Perfect for couples seeking a romantic escape.",2,1,Queen; Convertible; Modern; None; Upholstered,Ocean,HasBrailleSignage; HasAirConditioning; IsWheelchairFriendly; IsSmokingAllowed; HasKitchen; HasHeating; IsPetFriendly; HasBalcony; HasTV; HasPrivateWifi; HasBathTub,Daily,7; 23,1; 3,204,4
30000018,Beach Front Corner King Room,"Enjoy the ultimate beachfront experience in this luxurious room with panoramic ocean views, a plush king-size bed, and direct beach access. The room features a spacious layout, premium amenities, and a private balcony for a perfect seaside stay.",2,1,Full; Panel; Rustic; None; Spindle,Ocean,HasTV; IsSmokingAllowed; HasAirConditioning,Daily,8; 22,1; 20,240,3
30000019,Loft Suite,"A chic and stylish loft suite with an open-plan design, featuring a comfortable bed, a cozy living area, and stunning views. The suite is equipped with a flat-screen TV, complimentary Wi-Fi, air conditioning, and a modern en-suite bathroom, providing a perfect blend of style and comfort.",2,1,CalKing; Day; Traditional; None; Brass,Ocean,IsWheelchairFriendly; HasBalcony; HasPrivateWifi; IsSmokingAllowed; IsPetFriendly,Daily,4; 23,1;5,220,4