UID,Title,Artists,Publication Date,Price ($),Quantity,Description,Genres,Pages,Reviews,Album,Duration
40000000,Echoes of Tomorrow,"Florence, The Machine","April 12, 2023",$24.99,50,A hauntingly beautiful blend of ambient and synthwave evoking hope in post-apocalyptic soundscapes.,"Ambient, Synthwave",472,10;12;13;14;16;18;19;22;24;28;32;33;36;43;44;45;47;51,Echoes of Tomorrow,42 min
40000001,Neon Reverie,The 1975,"November 28, 2022",$22.50,40,Futuristic electro-pop journey through neon-lit cityscapes and dream logic.,"Electro-pop, Chillwave",296,2;10;11;14;17;21;24;26;30;32;33;42,Neon Reverie,38 min
40000002,Midnight Mirage,Lana Del Rey,"March 10, 2024",$26.00,35,Smooth downtempo beats and jazzy textures perfect for nighttime reflection.,"Downtempo, Nu Jazz",494,4;6;7;14;16;19;20;21;23;24;27;29;30;31;33;35;39;42;43;48,Midnight Mirage,45 min
40000003,Celestial Waves,Tame Impala,"June 22, 2023",$25.75,30,Atmospheric electronic melodies capturing the mystique of the cosmos.,"Ambient, Space Electronica",522,1;3;4;6;10;11;12;13;16;22;23;34;44;49;50,Celestial Waves,47 min
40000004,Golden Hour Redux,Kacey Musgraves,"September 17, 2021",$21.99,55,"A remastered blend of lo-fi hip-hop and summer soul, wrapped in golden nostalgia.","Lo-fi, Soul, Chillhop",238,1;4;5;8;10;12;13;14;20;21;30;31;32;33;34;35;37;43;44;48,Golden Hour Redux,41 min
40000005,Electric Dreams,Daft Punk,"July 5, 2022",$23.80,60,A retro-futuristic synth album with vibrant pulses and digital textures.,"Synthwave, Retrowave",263,1;2;5;7;9;10;18;20;23;24;25;27;33;38;39;41;42;48;50;51,Electric Dreams,43 min
40000006,Lost Frequencies,Arctic Monkeys,"October 30, 2023",$24.50,45,Melancholic melodies layered with deep bass and minimal beats â€” a soundscape of lost memories.,"Minimal, Deep House",340,2;3;7;9;11;17;19;20;32;44;47,Lost Frequencies,39 min
40000007,Velvet Horizon,The Weeknd,"February 14, 2022",$22.00,50,Silky smooth jazz-fusion LP with velvety textures and warm analog warmth.,"Jazz Fusion, Instrumental",325,3;11;12;16;18;28;29;31;39;40;41;43;47,Velvet Horizon,44 min
40000008,Parallel Universe,Billie Eilish,"January 25, 2024",$26.50,30,Experimental concept album bridging worlds with layered sound design and cosmic rhythm.,"Experimental, Electronic",269,2;4;5;14;15;16;17;18;20;24;28;31;34;36;42;46;49;50;51,Parallel Universe,48 min
40000009,Timeless Symphony,Adele,"December 3, 2021",$25.00,60,An orchestral electronic fusion that blends timeless strings with modern synth arrangements.,Orchestral Electronica,335,11;14;16;25;32;34;35;40;42;44;45,Timeless Symphony,46 min